aaronsburg,pa,533
abanda,al,174
abbeville,la,19848
abbeville,sc,5088
abbeville,ms,436
abbeville,al,2567
abbeville,ga,2789
abbotsford,wi,3888
abbott,tx,363
abbottstown,pa,1020
abbyville,ks,87
abercrombie,nd,261
aberdeen,sd,28264
aberdeen,ms,4430
aberdeen,wa,29089
aberdeen,id,1950
aberdeen,md,16049
aberdeen,nc,7625
aberdeen,oh,1602
aberdeen,in,1602
aberdeen gardens,wa,283
aberdeen proving ground,md,2624
abernathy,tx,2732
abeytas,nm,9
abie,ne,66
abilene,ks,6575
abilene,tx,114964
abingdon,il,3191
abingdon,va,7981
abiquiu,nm,259
abita springs,la,2540
abram,tx,2228
abrams,wi,432
absarokee,mt,1022
absecon,nj,8283
acacia villas,fl,459
acalanes ridge,ca,894
acampo,ca,520
accident,md,314
accokeek,md,11546
accomac,va,493
accord,ny,586
accoville,wv,946
aceitunas,pr,1706
acequia,id,127
achille,ok,526
ackerly,tx,227
ackerman,ms,1455
ackermanville,pa,773
ackley,ia,1525
ackworth,ia,108
acme,wa,183
acomita lake,nm,524
acres green,co,2824
acton,ca,7278
acushnet center,ma,2904
acworth,ga,22698
ada,mn,1620
ada,ok,17886
ada,ks,158
ada,oh,5598
adair,ia,704
adair,il,111
adair,ok,815
adair village,or,859
adairsville,ga,4849
adairville,ky,880
adak,ak,331
adams,mn,786
adams,or,353
adams,ne,614
adams,wi,1866
adams,nd,123
adams,tn,666
adams,ny,2521
adams center,ny,1587
adamsburg,pa,164
adamstown,md,2542
adamstown,pa,1850
adamsville,oh,121
adamsville,tn,2198
adamsville,pa,56
adamsville,al,4347
addieville,il,242
addington,ok,107
addis,la,5227
addison,tx,15458
addison,pa,197
addison,ny,1685
addison,il,36820
addison,mi,588
addison,al,728
addison,wv,688
addy,wa,96
addyston,oh,944
adel,ga,6964
adel,ia,3776
adelanto,ca,34066
adeline,il,81
adelino,nm,818
adell,wi,511
adelphi,md,15898
adelphi,oh,373
adena,oh,715
adin,ca,206
adjuntas,pr,4302
admire,ks,154
adona,ar,204
adrian,or,174
adrian,ga,645
adrian,tx,171
adrian,mi,43877
adrian,mo,1608
adrian,mn,1221
advance,nc,726
advance,mi,305
advance,mo,1348
advance,in,512
adwolf,va,1556
aetna estates,co,1352
affton,mo,21704
afton,ny,798
afton,wy,2005
afton,ok,1028
afton,mn,3010
afton,ia,829
agar,sd,80
agawam town,ma,28849
agency,mo,674
agency,ia,636
agency village,sd,218
agenda,ks,63
ages,ky,439
agoura hills,ca,20692
agra,ok,348
agra,ks,252
agua dulce,tx,808
agua dulce,ca,3598
agua fria,nm,2969
aguada,pr,2615
aguadilla,pr,11581
aguanga,ca,830
aguas buenas,pr,3129
aguas claras,pr,2287
aguila,az,1240
aguilar,co,476
aguilares,tx,46
aguilita,pr,3891
ahmeek,mi,142
ahoskie,nc,4789
ahtanum,wa,3076
ahuimanu,hi,8085
ahwahnee,ca,2340
aibonito,pr,8716
aiea,hi,9332
aiken,sc,30721
ailey,ga,543
ainaloa,hi,3099
ainsworth,ia,580
ainsworth,ne,1649
air force academy,co,6098
airmont,ny,8888
airport,ca,1547
airport drive,mo,850
airport heights,tx,88
airport road addition,tx,261
airway heights,wa,8166
aitkin,mn,2016
ajo,az,3525
ak chin,az,33
ak-chin village,az,1101
akaska,sd,47
akeley,mn,437
akhiok,ak,71
akiachak,ak,609
akiak,ak,391
akins,ok,641
akron,ia,1461
akron,in,1123
akron,oh,565920
akron,ny,2987
akron,co,1734
akron,al,332
akron,pa,3999
akron,mi,377
akutan,ak,1042
alabaster,al,33202
alachua,fl,4533
alafaya,fl,88025
alakanuk,ak,762
alamance,nc,1015
alameda,ca,79177
alamillo,nm,202
alamo,ga,3370
alamo,tx,19679
alamo,nv,949
alamo,ca,15521
alamo,nm,576
alamo,in,65
alamo,nd,69
alamo,tn,2329
alamo heights,tx,8413
alamo lake,az,3
alamogordo,nm,32745
alamosa,co,10963
alamosa east,co,1620
alanson,mi,753
alapaha,ga,667
alatna,ak,0
alba,tx,524
alba,pa,147
alba,mo,542
alba,mi,304
albany,vt,188
albany,oh,907
albany,tx,1983
albany,ga,90515
